Date;Code INSEE région;Région;TMin (°C);TMax (°C);TMoy (°C)
2018-02-26;52;Pays de la Loire;-3.35;2.05;-0.65
2018-02-27;52;Pays de la Loire;-5.7;0.75;-2.47
2018-02-28;52;Pays de la Loire;-7.6;-0.25;-3.92
2018-03-01;52;Pays de la Loire;-3.15;6.95;1.9
2018-03-02;52;Pays de la Loire;4.3;10.25;7.28
2018-03-03;52;Pays de la Loire;2.65;13.55;8.1
2018-03-04;52;Pays de la Loire;5.8;11.6;8.7
2018-03-05;52;Pays de la Loire;3.65;13.2;8.42
2018-03-06;52;Pays de la Loire;3.7;12.1;7.9
2018-03-07;52;Pays de la Loire;3.45;11.75;7.6
2018-03-08;52;Pays de la Loire;4.8;14.2;9.5
2018-03-09;52;Pays de la Loire;7.6;15.7;11.65
2018-03-10;52;Pays de la Loire;11.15;16.9;14.02
2018-03-11;52;Pays de la Loire;9.5;15.35;12.42
2018-03-12;52;Pays de la Loire;8.9;12.5;10.7
2018-03-13;52;Pays de la Loire;5.9;13.9;9.9
2018-03-14;52;Pays de la Loire;3.1;15.6;9.35
2018-03-15;52;Pays de la Loire;7.25;13.1;10.18
2018-03-16;52;Pays de la Loire;4.8;13.0;8.9
2018-03-17;52;Pays de la Loire;1.85;11.5;6.68
2018-03-18;52;Pays de la Loire;2.85;7.6;5.22
2018-03-19;52;Pays de la Loire;-1.15;5.1;1.98
2018-03-20;52;Pays de la Loire;-0.3;9.3;4.5
2018-03-21;52;Pays de la Loire;-0.85;8.85;4.0
2018-03-22;52;Pays de la Loire;-2.85;8.4;2.78
2018-03-23;52;Pays de la Loire;5.35;11.0;8.18
2018-03-24;52;Pays de la Loire;6.95;13.35;10.15
2018-03-25;52;Pays de la Loire;5.5;15.75;10.62
2018-03-26;52;Pays de la Loire;6.85;14.2;10.52
2018-03-27;52;Pays de la Loire;7.35;15.45;11.4
2018-03-28;52;Pays de la Loire;9.85;13.25;11.55
2018-03-29;52;Pays de la Loire;2.4;11.2;6.8
2018-03-30;52;Pays de la Loire;5.05;11.9;8.48
2018-03-31;52;Pays de la Loire;4.0;11.3;7.65
2018-04-01;52;Pays de la Loire;2.9;12.4;7.65
2018-04-02;52;Pays de la Loire;8.75;15.05;11.9
2018-04-03;52;Pays de la Loire;9.8;13.65;11.72
2018-04-04;52;Pays de la Loire;8.25;13.6;10.92
2018-04-05;52;Pays de la Loire;5.4;14.85;10.12
2018-04-06;52;Pays de la Loire;6.2;21.05;13.62
2018-04-07;52;Pays de la Loire;11.75;14.9;13.32
2018-04-08;52;Pays de la Loire;10.5;16.5;13.5
2018-04-09;52;Pays de la Loire;10.8;15.9;13.35
2018-04-10;52;Pays de la Loire;9.3;12.45;10.88
2018-04-11;52;Pays de la Loire;6.45;17.0;11.72
2018-04-12;52;Pays de la Loire;10.1;19.05;14.58
2018-04-13;52;Pays de la Loire;6.2;19.3;12.75
2018-04-14;52;Pays de la Loire;8.9;17.3;13.1
2018-04-15;52;Pays de la Loire;8.05;17.15;12.6
2018-04-16;52;Pays de la Loire;7.7;16.95;12.32
2018-04-17;52;Pays de la Loire;4.35;22.15;13.25
2018-04-18;52;Pays de la Loire;9.25;26.65;17.95
2018-04-19;52;Pays de la Loire;10.6;26.6;18.6
2018-04-20;52;Pays de la Loire;12.15;28.65;20.4
2018-04-21;52;Pays de la Loire;14.8;27.8;21.3
2018-04-22;52;Pays de la Loire;11.0;24.95;17.98
2018-04-23;52;Pays de la Loire;10.35;19.1;14.72
2018-04-24;52;Pays de la Loire;5.05;19.75;12.4
2018-04-25;52;Pays de la Loire;10.1;17.4;13.75
2018-04-26;52;Pays de la Loire;5.15;17.0;11.08
2018-04-27;52;Pays de la Loire;5.4;16.95;11.18
2018-04-28;52;Pays de la Loire;8.35;17.55;12.95
2018-04-29;52;Pays de la Loire;9.2;11.15;10.18
2018-04-30;52;Pays de la Loire;6.8;10.75;8.77
2018-05-01;52;Pays de la Loire;3.0;14.75;8.88
2018-05-02;52;Pays de la Loire;4.9;13.45;9.18
2018-05-03;52;Pays de la Loire;4.9;16.75;10.82
2018-05-04;52;Pays de la Loire;5.45;19.75;12.6
2018-05-05;52;Pays de la Loire;7.85;24.0;15.92
2018-05-06;52;Pays de la Loire;12.3;27.2;19.75
2018-05-07;52;Pays de la Loire;13.1;28.3;20.7
2018-05-08;52;Pays de la Loire;10.9;25.65;18.27
2018-05-09;52;Pays de la Loire;9.75;19.35;14.55
2018-05-10;52;Pays de la Loire;10.25;18.7;14.48
2018-05-11;52;Pays de la Loire;6.5;21.85;14.18
2018-05-12;52;Pays de la Loire;9.55;12.75;11.15
2018-05-13;52;Pays de la Loire;5.65;16.65;11.15
2018-05-14;52;Pays de la Loire;7.65;18.0;12.82
2018-05-15;52;Pays de la Loire;8.95;23.3;16.12
2018-05-16;52;Pays de la Loire;8.3;23.85;16.08
2018-05-17;52;Pays de la Loire;10.25;20.5;15.38
2018-05-18;52;Pays de la Loire;9.4;20.85;15.12
2018-05-19;52;Pays de la Loire;8.9;21.6;15.25
2018-05-20;52;Pays de la Loire;8.75;23.2;15.98
2018-05-21;52;Pays de la Loire;11.35;25.75;18.55
2018-05-22;52;Pays de la Loire;12.7;25.2;18.95
2018-05-23;52;Pays de la Loire;12.5;24.5;18.5
2018-05-24;52;Pays de la Loire;13.35;25.65;19.5
2018-05-25;52;Pays de la Loire;13.95;22.6;18.28
2018-05-26;52;Pays de la Loire;15.2;27.3;21.25
2018-05-27;52;Pays de la Loire;14.2;24.65;19.42
2018-05-28;52;Pays de la Loire;14.4;26.55;20.48
2018-05-29;52;Pays de la Loire;16.15;23.3;19.73
2018-05-30;52;Pays de la Loire;16.25;23.05;19.65
2018-05-31;52;Pays de la Loire;15.25;21.7;18.47
2018-06-01;52;Pays de la Loire;15.2;22.3;18.75
2018-06-02;52;Pays de la Loire;12.15;25.8;18.98
2018-06-03;52;Pays de la Loire;15.8;27.45;21.62
2018-06-04;52;Pays de la Loire;16.35;23.45;19.9
2018-06-05;52;Pays de la Loire;14.9;21.85;18.38
2018-06-06;52;Pays de la Loire;15.55;19.45;17.5
2018-06-07;52;Pays de la Loire;15.85;24.05;19.95
2018-06-08;52;Pays de la Loire;13.65;26.6;20.12
2018-06-09;52;Pays de la Loire;18.2;25.65;21.92
2018-06-10;52;Pays de la Loire;15.3;25.2;20.25
2018-06-11;52;Pays de la Loire;15.5;19.85;17.67
2018-06-12;52;Pays de la Loire;15.0;21.45;18.22
2018-06-13;52;Pays de la Loire;12.0;21.95;16.98
2018-06-14;52;Pays de la Loire;10.95;20.3;15.62
2018-06-15;52;Pays de la Loire;14.0;22.8;18.4
2018-06-16;52;Pays de la Loire;12.05;21.4;16.73
2018-06-17;52;Pays de la Loire;13.95;21.25;17.6
2018-06-18;52;Pays de la Loire;15.45;23.35;19.4
2018-06-19;52;Pays de la Loire;12.95;25.0;18.98
2018-06-20;52;Pays de la Loire;15.45;29.65;22.55
2018-06-21;52;Pays de la Loire;15.55;23.45;19.5
2018-06-22;52;Pays de la Loire;10.85;22.55;16.7
2018-06-23;52;Pays de la Loire;11.9;24.2;18.05
2018-06-24;52;Pays de la Loire;13.75;25.15;19.45
2018-06-25;52;Pays de la Loire;14.25;27.3;20.78
2018-06-26;52;Pays de la Loire;16.45;29.35;22.9
2018-06-27;52;Pays de la Loire;17.05;30.55;23.8
2018-06-28;52;Pays de la Loire;18.85;29.05;23.95
2018-06-29;52;Pays de la Loire;18.35;30.3;24.32
2018-06-30;52;Pays de la Loire;19.85;33.0;26.42
2018-07-01;52;Pays de la Loire;20.7;32.65;26.67
2018-07-02;52;Pays de la Loire;18.6;27.65;23.12
2018-07-03;52;Pays de la Loire;19.0;27.05;23.02
2018-07-04;52;Pays de la Loire;16.25;27.2;21.72
2018-07-05;52;Pays de la Loire;16.85;25.3;21.08
2018-07-06;52;Pays de la Loire;16.55;27.7;22.12
2018-07-07;52;Pays de la Loire;16.15;30.65;23.4
2018-07-08;52;Pays de la Loire;19.4;31.2;25.3
2018-07-09;52;Pays de la Loire;18.75;28.7;23.72
2018-07-10;52;Pays de la Loire;17.15;28.15;22.65
2018-07-11;52;Pays de la Loire;14.25;24.4;19.33
2018-07-12;52;Pays de la Loire;14.85;26.05;20.45
2018-07-13;52;Pays de la Loire;16.75;28.8;22.78
2018-07-14;52;Pays de la Loire;16.85;30.2;23.52
2018-07-15;52;Pays de la Loire;17.0;30.9;23.95
2018-07-16;52;Pays de la Loire;15.2;29.8;22.5
2018-07-17;52;Pays de la Loire;17.0;26.1;21.55
2018-07-18;52;Pays de la Loire;13.45;28.4;20.92
2018-07-19;52;Pays de la Loire;17.7;28.1;22.9
2018-07-20;52;Pays de la Loire;15.15;24.8;19.98
2018-07-21;52;Pays de la Loire;13.85;25.05;19.45
2018-07-22;52;Pays de la Loire;14.85;28.0;21.42
2018-07-23;52;Pays de la Loire;14.85;30.35;22.6
2018-07-24;52;Pays de la Loire;19.3;31.95;25.62
2018-07-25;52;Pays de la Loire;16.45;32.15;24.3
2018-07-26;52;Pays de la Loire;17.65;32.6;25.12
2018-07-27;52;Pays de la Loire;17.35;27.65;22.5
2018-07-28;52;Pays de la Loire;16.8;24.3;20.55
2018-07-29;52;Pays de la Loire;16.25;23.85;20.05
2018-07-30;52;Pays de la Loire;19.0;27.0;23.0
2018-07-31;52;Pays de la Loire;17.55;26.15;21.85
2018-08-01;52;Pays de la Loire;12.75;28.45;20.6
2018-08-02;52;Pays de la Loire;15.55;33.3;24.42
2018-08-03;52;Pays de la Loire;18.9;35.2;27.05
2018-08-04;52;Pays de la Loire;19.65;33.25;26.45
2018-08-05;52;Pays de la Loire;19.45;33.55;26.5
2018-08-06;52;Pays de la Loire;18.3;34.95;26.62
2018-08-07;52;Pays de la Loire;18.6;32.2;25.4
2018-08-08;52;Pays de la Loire;16.95;26.7;21.82
2018-08-09;52;Pays de la Loire;14.55;21.35;17.95
2018-08-10;52;Pays de la Loire;10.3;23.7;17.0
2018-08-11;52;Pays de la Loire;10.85;26.15;18.5
2018-08-12;52;Pays de la Loire;12.95;27.55;20.25
2018-08-13;52;Pays de la Loire;17.15;24.45;20.8
2018-08-14;52;Pays de la Loire;13.45;24.6;19.02
2018-08-15;52;Pays de la Loire;13.75;27.5;20.62
2018-08-16;52;Pays de la Loire;13.9;27.55;20.72
2018-08-17;52;Pays de la Loire;12.65;24.25;18.45
2018-08-18;52;Pays de la Loire;10.75;25.5;18.12
2018-08-19;52;Pays de la Loire;11.75;27.8;19.77
2018-08-20;52;Pays de la Loire;17.35;26.9;22.12
2018-08-21;52;Pays de la Loire;18.15;29.35;23.75
2018-08-22;52;Pays de la Loire;16.85;31.35;24.1
2018-08-23;52;Pays de la Loire;16.3;24.85;20.58
2018-08-24;52;Pays de la Loire;13.3;21.6;17.45
2018-08-25;52;Pays de la Loire;14.0;21.15;17.58
2018-08-26;52;Pays de la Loire;7.65;24.65;16.15
2018-08-27;52;Pays de la Loire;17.65;24.85;21.25
2018-08-28;52;Pays de la Loire;12.1;30.45;21.28
2018-08-29;52;Pays de la Loire;15.95;20.55;18.25
2018-08-30;52;Pays de la Loire;11.6;22.1;16.85
2018-08-31;52;Pays de la Loire;12.9;23.8;18.35
2018-09-01;52;Pays de la Loire;10.85;26.2;18.52
2018-09-02;52;Pays de la Loire;11.25;25.15;18.2
2018-09-03;52;Pays de la Loire;10.55;26.4;18.48
2018-09-04;52;Pays de la Loire;15.25;25.5;20.38
2018-09-05;52;Pays de la Loire;17.0;24.95;20.98
2018-09-06;52;Pays de la Loire;17.0;24.4;20.7
2018-09-07;52;Pays de la Loire;11.35;23.9;17.62
2018-09-08;52;Pays de la Loire;10.3;26.7;18.5
2018-09-09;52;Pays de la Loire;11.6;29.3;20.45
2018-09-10;52;Pays de la Loire;12.1;26.15;19.12
2018-09-11;52;Pays de la Loire;10.0;28.15;19.08
2018-09-12;52;Pays de la Loire;11.45;28.25;19.85
2018-09-13;52;Pays de la Loire;16.35;20.85;18.6
2018-09-14;52;Pays de la Loire;11.85;22.45;17.15
2018-09-15;52;Pays de la Loire;7.5;23.35;15.42
2018-09-16;52;Pays de la Loire;9.0;25.1;17.05
2018-09-17;52;Pays de la Loire;9.4;30.45;19.92
2018-09-18;52;Pays de la Loire;17.15;25.6;21.38
2018-09-19;52;Pays de la Loire;14.2;25.7;19.95
2018-09-20;52;Pays de la Loire;13.75;25.65;19.7
2018-09-21;52;Pays de la Loire;14.25;18.55;16.4
2018-09-22;52;Pays de la Loire;9.4;19.55;14.48
2018-09-23;52;Pays de la Loire;14.4;20.9;17.65
2018-09-24;52;Pays de la Loire;5.3;18.25;11.78
2018-09-25;52;Pays de la Loire;7.5;19.4;13.45
2018-09-26;52;Pays de la Loire;7.6;23.9;15.75
2018-09-27;52;Pays de la Loire;9.45;27.8;18.62
2018-09-28;52;Pays de la Loire;10.0;25.35;17.67
2018-09-29;52;Pays de la Loire;9.45;20.6;15.02
2018-09-30;52;Pays de la Loire;2.9;19.95;11.42
2018-10-01;52;Pays de la Loire;9.85;17.95;13.9
2018-10-02;52;Pays de la Loire;3.4;16.55;9.98
2018-10-03;52;Pays de la Loire;14.55;22.4;18.48
2018-10-04;52;Pays de la Loire;9.35;23.25;16.3
2018-10-05;52;Pays de la Loire;8.35;26.5;17.42
2018-10-06;52;Pays de la Loire;9.4;20.65;15.02
2018-10-07;52;Pays de la Loire;12.25;14.7;13.48
2018-10-08;52;Pays de la Loire;10.2;19.55;14.88
2018-10-09;52;Pays de la Loire;8.35;24.5;16.42
2018-10-10;52;Pays de la Loire;13.45;23.7;18.58
2018-10-11;52;Pays de la Loire;13.55;21.95;17.75
2018-10-12;52;Pays de la Loire;11.75;24.7;18.23
2018-10-13;52;Pays de la Loire;15.85;25.9;20.88
2018-10-14;52;Pays de la Loire;16.65;24.95;20.8
2018-10-15;52;Pays de la Loire;13.05;19.95;16.5
2018-10-16;52;Pays de la Loire;11.05;20.6;15.82
2018-10-17;52;Pays de la Loire;6.65;18.25;12.45
2018-10-18;52;Pays de la Loire;12.8;21.75;17.27
2018-10-19;52;Pays de la Loire;10.25;18.95;14.6
2018-10-20;52;Pays de la Loire;9.1;19.55;14.32
2018-10-21;52;Pays de la Loire;4.6;20.0;12.3
2018-10-22;52;Pays de la Loire;10.05;17.1;13.58
2018-10-23;52;Pays de la Loire;4.1;17.9;11.0
2018-10-24;52;Pays de la Loire;5.35;20.6;12.98
2018-10-25;52;Pays de la Loire;8.8;17.25;13.02
2018-10-26;52;Pays de la Loire;4.3;13.7;9.0
2018-10-27;52;Pays de la Loire;0.65;12.0;6.32
2018-10-28;52;Pays de la Loire;2.45;9.95;6.2
2018-10-29;52;Pays de la Loire;1.95;7.4;4.68
2018-10-30;52;Pays de la Loire;3.25;13.15;8.2
2018-11-01;52;Pays de la Loire;8.25;13.95;11.1
2018-11-02;52;Pays de la Loire;2.1;14.1;8.1
2018-11-03;52;Pays de la Loire;-0.15;12.25;6.05
2018-11-04;52;Pays de la Loire;3.05;14.05;8.55
2018-11-05;52;Pays de la Loire;7.55;16.65;12.1
2018-11-06;52;Pays de la Loire;8.45;15.4;11.92
2018-11-07;52;Pays de la Loire;9.25;14.6;11.92
2018-11-08;52;Pays de la Loire;3.5;12.9;8.2
2018-11-09;52;Pays de la Loire;7.95;15.6;11.77
2018-11-10;52;Pays de la Loire;10.6;15.6;13.1
2018-11-11;52;Pays de la Loire;10.5;13.15;11.82
2018-11-12;52;Pays de la Loire;10.1;14.25;12.18
2018-11-13;52;Pays de la Loire;7.85;16.0;11.92
2018-11-14;52;Pays de la Loire;4.45;14.95;9.7
2018-11-15;52;Pays de la Loire;6.85;16.6;11.73
2018-11-16;52;Pays de la Loire;8.2;12.3;10.25
2018-11-17;52;Pays de la Loire;5.05;7.7;6.38
2018-11-18;52;Pays de la Loire;2.65;9.2;5.92
2018-11-19;52;Pays de la Loire;1.2;6.2;3.7
2018-11-20;52;Pays de la Loire;0.6;4.8;2.7
2018-11-21;52;Pays de la Loire;-3.25;7.65;2.2
2018-11-22;52;Pays de la Loire;0.15;9.15;4.65
2018-11-23;52;Pays de la Loire;3.45;10.3;6.88
2018-11-24;52;Pays de la Loire;4.8;12.4;8.6
2018-11-25;52;Pays de la Loire;5.6;9.05;7.32
2018-11-26;52;Pays de la Loire;5.7;9.7;7.7
2018-11-27;52;Pays de la Loire;1.2;12.15;6.68
2018-11-28;52;Pays de la Loire;10.0;13.1;11.55
2018-11-29;52;Pays de la Loire;9.55;14.9;12.23
2018-12-01;52;Pays de la Loire;5.55;14.25;9.9
2018-12-02;52;Pays de la Loire;12.85;14.75;13.8
2018-12-03;52;Pays de la Loire;11.2;15.3;13.25
2018-12-04;52;Pays de la Loire;10.1;14.35;12.22
2018-12-05;52;Pays de la Loire;8.6;13.65;11.12
2018-12-06;52;Pays de la Loire;11.7;14.35;13.02
2018-12-07;52;Pays de la Loire;8.65;12.9;10.78
2018-12-08;52;Pays de la Loire;7.5;12.85;10.18
2018-12-09;52;Pays de la Loire;9.6;13.2;11.4
2018-12-10;52;Pays de la Loire;5.6;12.1;8.85
2018-12-11;52;Pays de la Loire;0.65;8.1;4.38
2018-12-12;52;Pays de la Loire;2.55;6.2;4.38
2018-12-13;52;Pays de la Loire;1.05;3.5;2.28
2018-12-14;52;Pays de la Loire;-2.6;3.6;0.5
2018-12-15;52;Pays de la Loire;-1.3;11.9;5.3
2018-12-16;52;Pays de la Loire;3.4;10.75;7.07
2018-12-17;52;Pays de la Loire;2.0;12.25;7.12
2018-12-18;52;Pays de la Loire;6.2;9.95;8.07
2018-12-19;52;Pays de la Loire;7.15;10.9;9.02
2018-12-20;52;Pays de la Loire;6.0;12.8;9.4
2018-12-21;52;Pays de la Loire;9.85;13.9;11.88
2018-12-22;52;Pays de la Loire;11.0;13.75;12.38
2018-12-23;52;Pays de la Loire;10.55;13.65;12.1
2018-12-24;52;Pays de la Loire;9.95;13.3;11.62
2018-12-25;52;Pays de la Loire;4.45;9.2;6.82
2018-12-26;52;Pays de la Loire;0.8;4.55;2.68
2018-12-27;52;Pays de la Loire;-0.9;4.2;1.65
2018-12-28;52;Pays de la Loire;0.95;5.25;3.1
2018-12-29;52;Pays de la Loire;1.85;8.5;5.18
2018-12-30;52;Pays de la Loire;6.0;10.5;8.25
2018-12-31;52;Pays de la Loire;7.55;9.2;8.38
2019-01-01;52;Pays de la Loire;7.45;9.2;8.32
2019-01-02;52;Pays de la Loire;5.05;8.0;6.52
2019-01-03;52;Pays de la Loire;-1.45;6.7;2.62
2019-01-04;52;Pays de la Loire;-1.05;6.0;2.48
2019-01-05;52;Pays de la Loire;-2.05;4.95;1.45
2019-01-06;52;Pays de la Loire;3.25;5.9;4.58
2019-01-07;52;Pays de la Loire;4.6;8.65;6.62
2019-01-08;52;Pays de la Loire;7.2;11.75;9.48
2019-01-09;52;Pays de la Loire;0.1;7.65;3.88
2019-01-10;52;Pays de la Loire;-0.55;7.2;3.32
2019-01-11;52;Pays de la Loire;2.25;9.25;5.75
2019-01-12;52;Pays de la Loire;4.45;10.1;7.28
2019-01-13;52;Pays de la Loire;8.35;11.85;10.1
2019-01-14;52;Pays de la Loire;8.55;10.85;9.7
2019-01-15;52;Pays de la Loire;5.55;9.15;7.35
2019-01-16;52;Pays de la Loire;-1.95;8.6;3.32
2019-01-17;52;Pays de la Loire;3.45;10.25;6.85
2019-01-18;52;Pays de la Loire;-1.1;7.2;3.05
2019-01-19;52;Pays de la Loire;1.95;9.95;5.95
2019-01-20;52;Pays de la Loire;3.25;7.7;5.48
2019-01-21;52;Pays de la Loire;-2.4;6.6;2.1
2019-01-22;52;Pays de la Loire;-2.0;8.25;3.12
2019-01-23;52;Pays de la Loire;2.55;7.15;4.85
2019-01-24;52;Pays de la Loire;-1.4;6.9;2.75
2019-01-25;52;Pays de la Loire;4.45;10.65;7.55
2019-01-26;52;Pays de la Loire;7.7;10.55;9.12
2019-01-27;52;Pays de la Loire;5.9;8.7;7.3
2019-01-28;52;Pays de la Loire;3.55;8.45;6.0
2019-01-29;52;Pays de la Loire;1.15;7.75;4.45
2019-01-30;52;Pays de la Loire;1.5;6.2;3.85
2019-02-01;52;Pays de la Loire;2.35;8.75;5.55
2019-02-02;52;Pays de la Loire;3.35;6.75;5.05
2019-02-03;52;Pays de la Loire;-1.05;8.6;3.78
2019-02-04;52;Pays de la Loire;-0.7;4.4;1.85
2019-02-05;52;Pays de la Loire;3.0;8.9;5.95
2019-02-06;52;Pays de la Loire;7.0;12.1;9.55
2019-02-07;52;Pays de la Loire;5.45;12.3;8.88
2019-02-08;52;Pays de la Loire;7.95;11.55;9.75
2019-02-09;52;Pays de la Loire;8.0;12.25;10.12
2019-02-10;52;Pays de la Loire;7.0;10.65;8.82
2019-02-11;52;Pays de la Loire;3.1;11.1;7.1
2019-02-12;52;Pays de la Loire;-1.7;12.8;5.55
2019-02-13;52;Pays de la Loire;-0.25;11.7;5.72
2019-02-14;52;Pays de la Loire;-0.1;14.3;7.1
2019-02-15;52;Pays de la Loire;0.85;16.3;8.57
2019-02-16;52;Pays de la Loire;-0.05;16.95;8.45
2019-02-17;52;Pays de la Loire;2.85;17.05;9.95
2019-02-18;52;Pays de la Loire;1.0;13.05;7.02
2019-02-19;52;Pays de la Loire;4.85;10.85;7.85
2019-02-20;52;Pays de la Loire;1.45;13.25;7.35
2019-02-21;52;Pays de la Loire;3.0;8.7;5.85
2019-02-22;52;Pays de la Loire;0.8;19.55;10.18
2019-02-23;52;Pays de la Loire;4.55;17.9;11.23
2019-02-24;52;Pays de la Loire;2.1;16.5;9.3
2019-02-25;52;Pays de la Loire;1.1;17.15;9.12
2019-02-26;52;Pays de la Loire;2.0;19.6;10.8
2019-02-27;52;Pays de la Loire;2.55;22.2;12.38
2019-03-01;52;Pays de la Loire;7.3;12.65;9.98
2019-03-02;52;Pays de la Loire;8.75;14.9;11.82
2019-03-03;52;Pays de la Loire;11.1;16.35;13.73
2019-03-04;52;Pays de la Loire;6.9;12.45;9.68
2019-03-05;52;Pays de la Loire;5.35;14.8;10.07
2019-03-06;52;Pays de la Loire;8.5;12.55;10.52
2019-03-07;52;Pays de la Loire;6.65;12.75;9.7
2019-03-08;52;Pays de la Loire;1.55;12.85;7.2
2019-03-09;52;Pays de la Loire;9.35;14.5;11.92
2019-03-10;52;Pays de la Loire;9.8;14.25;12.02
2019-03-11;52;Pays de la Loire;5.05;12.9;8.98
2019-03-12;52;Pays de la Loire;2.85;12.75;7.8
2019-03-13;52;Pays de la Loire;4.65;12.6;8.62
2019-03-14;52;Pays de la Loire;7.15;12.45;9.8
2019-03-15;52;Pays de la Loire;10.65;13.8;12.22
2019-03-16;52;Pays de la Loire;9.9;14.7;12.3
2019-03-17;52;Pays de la Loire;5.8;11.85;8.82
2019-03-18;52;Pays de la Loire;3.15;11.65;7.4
2019-03-19;52;Pays de la Loire;3.95;11.85;7.9
2019-03-20;52;Pays de la Loire;1.15;14.5;7.82
2019-03-21;52;Pays de la Loire;3.2;16.35;9.77
2019-03-22;52;Pays de la Loire;3.85;18.35;11.1
2019-03-23;52;Pays de la Loire;2.05;17.0;9.52
2019-03-24;52;Pays de la Loire;4.4;13.55;8.98
2019-03-25;52;Pays de la Loire;1.0;13.95;7.48
2019-03-26;52;Pays de la Loire;0.35;14.15;7.25
2019-03-27;52;Pays de la Loire;0.7;14.6;7.65
2019-03-28;52;Pays de la Loire;2.6;13.95;8.27
2019-03-29;52;Pays de la Loire;3.8;18.2;11.0
2019-03-30;52;Pays de la Loire;5.4;19.6;12.5